date,steps,distance,mins_sedentary,mins_light_activity,mins_mode_activity,mins_active
2019-02-01,20043,9.85,613,423,46,44
2019-02-02,19876,10.29,707,276,25,82
2019-02-03,22731,11.53,488,357,44,84
2019-02-04,18636,9.77,544,150,25,97
2019-02-05,9850,5.27,"1,241",58,14,47
2019-02-06,8880,4.31,810,293,6,0
2019-02-07,14938,7.26,567,344,56,24
2019-02-08,20538,10.63,716,285,25,83
2019-02-09,20645,10.72,721,279,26,81
2019-02-10,22066,11.01,582,250,59,102
2019-02-11,28841,14.31,388,318,100,109
2019-02-12,21630,11.01,700,277,41,86
2019-02-13,14798,7.35,685,313,37,34
2019-02-14,10145,4.89,775,303,13,20
2019-02-15,11821,5.9,786,316,9,25
2019-02-16,25733,12.91,372,387,28,96
2019-02-17,21676,10.67,389,408,69,69
2019-02-18,19592,10.1,467,285,26,62
2019-02-19,33434,17.08,360,314,58,169
2019-02-20,17441,8.91,726,282,19,65
2019-02-21,12502,6.18,749,354,3,28
2019-02-22,13378,6.73,682,309,11,29
2019-02-23,19361,9.81,702,337,29,71
2019-02-24,10155,4.81,592,339,21,0
2019-02-25,6032,2.86,826,222,7,1
2019-02-26,8495,4.17,668,216,10,22
2019-02-27,21211,10.78,540,228,47,87
2019-02-28,23669,12.43,788,243,30,119
2019-03-01,24114,12.5,535,248,41,113
2019-03-02,28914,14.65,732,523,45,105
2019-03-03,21230,10.09,335,475,113,10
2019-03-04,13580,6.67,757,322,56,25
2019-03-05,20516,10.56,622,325,22,75
2019-03-06,18692,9.68,662,262,18,72
2019-03-07,11823,5.76,600,313,33,25
2019-03-08,7130,3.45,686,214,8,7
2019-03-09,12281,6.15,730,306,10,39
2019-03-10,25214,13.06,634,359,33,100
2019-03-11,22801,11.4,426,476,55,57
2019-03-12,19794,10.22,748,276,28,81
2019-03-13,14436,7.5,699,199,14,55
2019-03-14,8387,4.01,792,336,0,0
2019-03-15,11669,5.85,761,254,15,33
2019-03-16,9728,4.88,682,222,16,30
2019-03-17,30852,15.88,451,454,40,116
2019-03-18,19181,9.76,757,239,71,53
2019-03-19,11361,5.68,"1,006",286,2,27
2019-03-20,12819,6.42,685,350,13,22
2019-03-21,11097,5.25,602,424,16,0
2019-03-22,13567,6.56,733,255,22,50
2019-03-23,12492,6.23,794,239,18,33
2019-03-24,27836,13.96,350,388,26,108
2019-03-25,23442,11.61,580,213,48,119
2019-03-26,21026,10.95,731,278,25,86
2019-03-27,10062,4.86,769,331,16,13
